Common_name	Country	my_locality2	Serial_number	bams_goat_map	bams_impala_map
Impala	Zimbabwe	ManaPools	1619	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/1619.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/1619.bam
Impala	Zimbabwe	ManaPools	1620	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/1620.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/1620.bam
Impala	Zimbabwe	ManaPools	1621	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/1621.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/1621.bam
Impala	Zimbabwe	Shangani	1508	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/1508.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/1508.bam
Impala	Zimbabwe	Shangani	1509	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/1509.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/1509.bam
Impala	Zimbabwe	Shangani	1510	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/1510.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/1510.bam
Impala	Zimbabwe	Shangani	1511	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/1511.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/1511.bam
Impala	Zimbabwe	Shangani	1514	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/1514.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/1514.bam
Impala	Zimbabwe	Shangani	1515	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/1515.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/1515.bam
Impala	Zimbabwe	Shangani	1516	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/1516.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/1516.bam
Impala	Zimbabwe	Shangani	1517	/davidData/genis/impala/qc_mapping_collapse/goatRef/bam/1517.bam	/davidData/genis/impala/qc_mapping_collapse/impalaRef/bam/1517.bam
